"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,125InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,69
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,130
"",DEN,Denver International Denver,CO,South,,110
"",,,,Blue-2,,5
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,2
"",,,,Terminal B/3,,0
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,5
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,66
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,55
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,3
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,81
"",,,,Terminal 1,,15
"",,,,Terminal 4 Main,,74
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 5,,3
"",,,,Terminal 7,,0
"",,,,Terminal 8,,4
"",,,,Term 1 - AB,,68
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,14
"",,,,Terminal 3 - E Upper,,115
"",,,,TBIT Main Checkpoint,,87
"",,,,Terminal 2 - Passenger,,0
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 4A - Passenger,,93
"",,,,Terminal 5 - Passenger,,6
00:00,,,,,,
"",LGA,LaGuardia Flushing,NY,TB-CHK,,4
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 2,,5
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,3
4/25/2021,,,,,,
"",MSP,Minneapolis-St. Paul International St. Paul,MN,South CP,,5
"",,,,10,,4
"",ORD,Chicago-OHare International Chicago,IL,,,
"",,,,6A,,14
"",,,,PDX A/B/C,,0
