"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,220InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,4
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,234
"",DEN,Denver International Denver,CO,A Bridge,,62
"",,,,Blue-2,,7
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,13
"",,,,Terminal B/3,,7
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,19
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,112
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,43
"",Ft. Lauderdale-HollywoodFLL,12InternationalFort Lauderdale,FL,T3F Checkpoint,,
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,25
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,122
"",,,,12/AS Terminal,,6
"",IAH,George Bush Intercontinental Houston,TX,,,
"",,,,21/B-Employee,,0
"",,,,Terminal 1,,17
"",,,,Terminal 2,,0
"",,,,Terminal 4 Main,,364
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,13
"",,,,Terminal 7,,0
"",,,,Terminal 8,,33
"",,,,Term 1 - AB,,85
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,39
"",,,,Terminal 3 - E Upper,,237
"",,,,TBIT Main Checkpoint,,104
"",,,,Terminal 1.5 – Passenger,,0
"",,,,Terminal 2 - Passenger,,10
"",LAX,Los Angeles International Los Angeles,CA,,,
00:00,,,,Terminal 4A - Passenger,,77
"",,,,Terminal 5 - Passenger,,64
8/22/2021,,,,Terminal 7 - Passenger,,18
"",LGA,LaGuardia Flushing,NY,TB-CHK,,0
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,1
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
