"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,81InternationalAnchorage,AK,South Checkpoint,,
"",BWI,Baltimore-Washington International BWI Airport,MD,D/E Checkpoint,,219
"",DEN,Denver International Denver,CO,South,,35
"",,,,C21,,0
"",DFW,Dallas/Fort Worth International DFW Airport,TX,,,
"",,,,E18,,2
"",,,,Blue-2,,6
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,5
"",EWR,Newark International Newark,NJ,Terminal C/1,,7
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,34
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,58
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,0
"",,,,Terminal 1,,1
"",,,,Terminal 4 Main,,3
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 5,,1
"",,,,Terminal 7,,0
"",,,,Terminal 8,,0
"",,,,Term 1 - D,,2
"",LAS,McCarran International Las Vegas,NV,,,
"",,,,Terminal 3 - E Upper,,15
"",,,,TBIT Main Checkpoint,,31
"",,,,Terminal 4A - Passenger,,64
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 5 - Passenger,,3
"",,,,Terminal 7 - Passenger,,18
"",LGA,LaGuardia Flushing,NY,TB-CHK,,3
"",,,,EAST Checkpoint,,2
00:00,MCO,Orlando International Orlando,FL,WEST Checkpoint,,4
"",,,,WEST FIS,,0
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 3,,3
8/23/2020,MIA,Miami International Miami,FL,,,
"",,,,South-J1,,3
"",MSP,Minneapolis-St. Paul International St. Paul,MN,North CP,,3
"",,,,10,,59
"",ORD,Chicago-OHare International Chicago,IL,4B,,11
"",,,,6A,,13
"",PDX,Portland International Airport Portland,OR,PDX D/E,,0
