"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,214InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,4
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,42
"",DEN,Denver International Denver,CO,South,,63
"",,,,Blue-2,,8
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,4
"",,,,Terminal B/3,,0
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,5
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,86
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,34
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,21
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,108
"",,,,12/AS Terminal,,2
"",IAH,George Bush Intercontinental Houston,TX,,,
"",,,,21/B-Employee,,0
"",,,,Terminal 1,,19
"",,,,Terminal 2,,0
"",,,,Terminal 4 Main,,219
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,7
"",,,,Terminal 7,,0
"",,,,Terminal 8,,0
"",,,,Term 1 - AB,,80
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,24
"",,,,Terminal 3 - E Upper,,116
"",,,,TBIT Main Checkpoint,,115
"",,,,Terminal 1.5 – Passenger,,0
"",,,,Terminal 2 - Passenger,,2
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 4A - Passenger,,81
"",,,,Terminal 5 - Passenger,,29
00:00,,,,,,
"",,,,Terminal 7 - Passenger,,8
"",LGA,LaGuardia Flushing,NY,TB-CHK,,2
8/29/2021,,,,,,
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,3
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 2,,77
