"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,167InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,2
"",DEN,Denver International Denver,CO,South,,113
"",,,,C21,,4
"",DFW,Dallas/Fort Worth International DFW Airport,TX,D30,,170
"",,,,E18,,34
"",,,,Blue-2,,4
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,3
"",,,,Terminal B/3,,13
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,5
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,65
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,18
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,105
"",,,,Terminal 4 Main,,47
"",,,,Terminal 5,,2
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 7,,0
"",,,,Terminal 8,,14
"",,,,Term 1 - AB,,4
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,36
"",,,,Terminal 3 - E Upper,,41
"",,,,TBIT Main Checkpoint,,1
"",,,,Terminal 2 - Passenger,,1
"",LAX,Los Angeles International Los Angeles,CA,Terminal 4A - Passenger,,93
"",,,,Terminal 6 - Passenger,,7
"",,,,Terminal 7 - Passenger,,1
00:00,,,,,,
"",LGA,LaGuardia Flushing,NY,TB-CHK,,2
"",,,,EAST Checkpoint,,8
"",MCO,Orlando International Orlando,FL,,,
"",,,,WEST Checkpoint,,16
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,1
12/20/202,,,,Int'l Arrivals,,0
TN0,MEM,Memphis International Memphis,,MEM-C,,0
"",,,,North 2,,15
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,114
"",MSP,Minneapolis-St. Paul International St. Paul,MN,North CP,,127
"",,,,10,,71
"",ORD,Chicago-OHare International Chicago,IL,4B,,1
