"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,200InternationalAnchorage,AK,South Checkpoint,,
"",ATL,Hartsfield Atlanta International Atlanta,GA,Main Checkpoint,,13
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,207
"",,,,Concourse A,,0
"",DCA,Washington Reagan National Arlington,VA,North Checkpoint,,0
"",,,,South Checkpoint,,0
"",,,,North,,0
"",DEN,Denver International Denver,CO,,,
"",,,,South,,31
"",DFW,Dallas/Fort Worth International DFW Airport,TX,D30,,5
"",,,,Blue-2,,7
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,3
"",,,,Terminal B/3,,4
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,9
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,135
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,99
"",Ft. Lauderdale-HollywoodFLL,2InternationalFort Lauderdale,FL,T3F Checkpoint,,
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,5
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,68
"",,,,Terminal 1,,0
"",,,,Terminal 2,,0
"",,,,Terminal 4 Main,,261
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,7
"",,,,Terminal 7,,0
"",,,,Terminal 8,,0
"",,,,Term 1 - AB,,66
00:00,LAS,Harry Reid International Airport Las Vegas,NV,Term 1 - D,,8
"",,,,Terminal 3 - E Upper,,133
"",,,,TBIT Main Checkpoint,,97
"",,,,Terminal 4A - Passenger,,45
12/26/202,LAX,Los Angeles International Los Angeles,CA,Terminal 5A - Passenger,,22
1,,,,,,
"",,,,Terminal 7 - Passenger,,2
"",LGA,LaGuardia Flushing,NY,TB-CHK,,1
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",MEM,Memphis International Memphis,TN,Int'l Arrivals,,0
