"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,103InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,0
"",DEN,Denver International Denver,CO,South,,7
"",,,,C21,,7
"",DFW,Dallas/Fort Worth International DFW Airport,TX,,,
"",,,,E18,,4
"",,,,Blue-2,,6
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,1
"",,,,Terminal B/3,,1
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,1
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,74
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,43
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,2
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,108
"",,,,Terminal 1,,0
"",,,,Terminal 4 Main,,77
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 5,,0
"",,,,Terminal 7,,0
"",,,,Terminal 8,,13
"",,,,Term 1 - AB,,35
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,4
"",,,,Terminal 3 - E Upper,,56
"",,,,TBIT Main Checkpoint,,0
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 4A - Passenger,,45
"",LGA,LaGuardia Flushing,NY,TB-CHK,,0
"",,,,EAST Checkpoint,,5
"",MCO,Orlando International Orlando,FL,,,
00:00,,,,WEST Checkpoint,,4
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 2,,7
2/21/2021,MIA,Miami International Miami,FL,,,
"",,,,South-J1,,19
"",MSP,Minneapolis-St. Paul International St. Paul,MN,South CP,,3
"",,,,10,,11
"",ORD,Chicago-OHare International Chicago,IL,4B,,15
"",,,,6A,,11
