"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,59InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,0
"",DEN,Denver International Denver,CO,South,,9
"",,,,C21,,12
"",DFW,Dallas/Fort Worth International DFW Airport,TX,,,
"",,,,E18,,7
"",,,,Blue-2,,2
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,3
"",EWR,Newark International Newark,NJ,Terminal C/1,,5
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,83
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,14
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,92
"",,,,Terminal 1,,1
"",,,,Terminal 4 Main,,96
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 5,,0
"",,,,Terminal 7,,0
"",,,,Terminal 8,,32
"",,,,Term 1 - AB,,35
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,12
"",,,,Terminal 3 - E Upper,,80
"",,,,TBIT Main Checkpoint,,63
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 4A - Passenger,,60
"",LGA,LaGuardia Flushing,NY,TB-CHK,,1
"",,,,EAST Checkpoint,,6
"",MCO,Orlando International Orlando,FL,,,
"",,,,WEST Checkpoint,,5
00:00,,,,,,
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 2,,5
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,13
"",MSP,Minneapolis-St. Paul International St. Paul,MN,South CP,,1
2/28/2021,,,,,,
"",,,,10,,14
"",ORD,Chicago-OHare International Chicago,IL,,,
"",,,,4B,,15
"",,,,PDX A/B/C,,0
"",PDX,Portland International Airport Portland,OR,,,
"",,,,PDX D/E,,0
