"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,98InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,1
"",DEN,Denver International Denver,CO,South,,5
"",,,,C30,,4
"",DFW,Dallas/Fort Worth International DFW Airport,TX,,,
"",,,,E18,,6
"",,,,Blue-2,,3
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,3
"",,,,Terminal B/3,,3
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,6
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,106
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,41
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,73
"",,,,Terminal 1,,0
"",,,,Terminal 4 Main,,131
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,2
"",,,,Terminal 7,,0
"",,,,Term 1 - AB,,3
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,14
"",,,,Terminal 3 - E Upper,,24
"",,,,TBIT Main Checkpoint,,1
"",LAX,Los Angeles International Los Angeles,CA,Terminal 4 - Passenger,,40
"",,,,Terminal 7 - Passenger,,2
"",LGA,LaGuardia Flushing,NY,TB-CHK,,0
"",,,,EAST Checkpoint,,2
"",MCO,Orlando International Orlando,FL,,,
"",,,,WEST Checkpoint,,2
00:00,,,,,,
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 2,,1
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,11
1/24/2021,,,,,,
"",MSP,Minneapolis-St. Paul International St. Paul,MN,South CP,,1
"",,,,10,,7
"",ORD,Chicago-OHare International Chicago,IL,4B,,7
"",,,,6A,,14
"",,,,PDX A/B/C,,0
