"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,157InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,18
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,83
"",BWI,Baltimore-Washington International BWI Airport,MD,C Checkpoint,,3
"",DEN,Denver International Denver,CO,South,,152
"",,,,Blue-2,,11
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,7
"",,,,Terminal B/2,,4
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,20
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,17
"",GSN,Saipan Saipan,MP,GSN01,,226
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,325
"",Daniel K. Inouye InternationalHNL,18AirportHonolulu,HI,HNL03,,
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,81
"",IND,Indianapolis International Indianapolis,IN,Checkpoint B,,1
"",,,,Terminal 1,,77
"",,,,Terminal 2,,5
"",,,,Terminal 4 Main,,217
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,10
"",,,,Terminal 7,,0
"",,,,Terminal 8,,5
"",,,,Term 1 - AB,,66
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,144
"",,,,Terminal 3 - E Upper,,215
"",,,,TBIT Main Checkpoint,,143
"",,,,Terminal 2 - Passenger,,3
"",LAX,Los Angeles International Los Angeles,CA,Terminal 4A - Passenger,,28
"",,,,Terminal 5 - Passenger,,22
00:00,,,,Terminal 7 - Passenger,,8
1/26/2020,MDW,Chicago Midway Chicago,IL,Main Checkpoint,,1
"",MEM,Memphis International Memphis,TN,Int'l Arrivals,,0
"",,,,North 2,,6
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,175
"",MSP,Minneapolis-St. Paul International St. Paul,MN,North CP,,18
