"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,244InternationalAnchorage,AK,South Checkpoint,,
"",ATL,Hartsfield Atlanta International Atlanta,GA,Main Checkpoint,,23
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,184
"",,,,Concourse A,,0
"",DCA,Washington Reagan National Arlington,VA,North Checkpoint,,0
"",,,,South Checkpoint,,0
"",DEN,Denver International Denver,CO,South,,64
"",DFW,Dallas/Fort Worth International DFW Airport,TX,D30,,0
"",,,,Blue-2,,7
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,7
"",,,,Terminal B/3,,12
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,17
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,99
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,23
"",Ft. Lauderdale-HollywoodFLL,23InternationalFort Lauderdale,FL,T4 Checkpoint,,
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,4
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,156
"",,,,Terminal 1,,38
"",,,,Terminal 2,,6
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 4 Main,,224
"",,,,Terminal 5,,10
"",,,,Terminal 7,,0
"",,,,Term 1 - AB,,0
"",LAS,Harry Reid International Airport Las Vegas,NV,Term 1 - D,,7
"",,,,Terminal 3 - E Upper,,172
"",,,,TBIT Main Checkpoint,,17
00:00,,,,Terminal 1.5 – Passenger,,0
"",,,,Terminal 2 - Passenger,,2
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 4A - Passenger,,6
1/9/2022,,,,Terminal 5 - Passenger,,23
"",,,,Terminal 7 - Passenger,,4
"",LGA,LaGuardia Flushing,NY,TB-CHK,,2
"",MCE,Merced Municipal Merced,CA,Terminal,,0
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
