"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,457InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,45
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,249
"",DEN,Denver International Denver,CO,South,,107
"",,,,Blue-2,,6
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,5
"",,,,Terminal B/3,,1
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,11
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,172
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,92
"",Ft. Lauderdale-HollywoodFLL,66InternationalFort Lauderdale,FL,T3F Checkpoint,,
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,3
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,65
"",IAH,George Bush Intercontinental Houston,TX,12/AS Terminal,,0
"",,,,Terminal 1,,0
"",,,,Terminal 2,,0
"",,,,Terminal 4 Main,,265
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,9
"",,,,Terminal 7,,0
"",,,,Terminal 8,,82
"",,,,Term 1 - AB,,44
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,35
"",,,,Terminal 3 - E Upper,,157
"",,,,Suites,,6
"",,,,TBIT Main Checkpoint,,295
"",LAX,Los Angeles International Los Angeles,CA,Terminal 1.5 – Passenger,,17
"",,,,Terminal 2 - Passenger,,7
00:00,,,,Terminal 4A - Passenger,,24
"",LGA,LaGuardia Flushing,NY,TB-CHK,,1
7/11/2021,MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",MEM,Memphis International Memphis,TN,Int'l Arrivals,,0
"",,,,North 2,,136
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,70
