"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,580InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,21
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,197
"",DEN,Denver International Denver,CO,South,,107
"",,,,Blue-2,,8
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,23
"",,,,Terminal B/3,,0
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,7
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,178
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,128
"",Ft. Lauderdale-HollywoodFLL,17InternationalFort Lauderdale,FL,T3F Checkpoint,,
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,5
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,108
"",IAH,George Bush Intercontinental Houston,TX,12/AS Terminal,,4
"",,,,Terminal 1,,5
"",,,,Terminal 2,,0
"",,,,Terminal 4 Main,,368
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,6
"",,,,Terminal 7,,0
"",,,,Terminal 8,,15
"",,,,Term 1 - AB,,46
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,55
"",,,,Terminal 3 - E Upper,,162
"",,,,TBIT Main Checkpoint,,140
"",,,,Terminal 2 - Passenger,,22
00:00,LAX,Los Angeles International Los Angeles,CA,Terminal 4A - Passenger,,94
"",,,,Terminal 5 - Passenger,,99
"",,,,Terminal 7 - Passenger,,7
"",LGA,LaGuardia Flushing,NY,TB-CHK,,1
7/25/2021,MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",MEM,Memphis International Memphis,TN,Int'l Arrivals,,0
"",,,,North 2,,119
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,147
