"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,80InternationalAnchorage,AK,South Checkpoint,,
"",BWI,Baltimore-Washington International BWI Airport,MD,D/E Checkpoint,,289
"",DEN,Denver International Denver,CO,South,,38
"",,,,Blue-2,,4
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,1
"",,,,Terminal B/2,,57
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,5
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,80
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,0
"",,,,Terminal 1,,0
"",,,,Terminal 4 Main,,50
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 5,,9
"",,,,Terminal 7,,0
"",,,,Terminal 8,,6
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,6
"",,,,TBIT Main Checkpoint,,0
"",,,,Terminal 2 - Passenger,,6
"",LAX,Los Angeles International Los Angeles,CA,Terminal 4A - Passenger,,65
"",,,,Terminal 5 - Passenger,,35
"",,,,Terminal 7 - Passenger,,24
"",,,,EAST Checkpoint,,2
"",MCO,Orlando International Orlando,FL,WEST Checkpoint,,3
"",,,,WEST FIS,,0
"",,,,Int'l Arrivals,,0
00:00,MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 3,,3
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,1
"",MMH,Mammoth Yosemite Mammoth Lakes,CA,Checkpoint 1,,0
"",MSP,Minneapolis-St. Paul International St. Paul,MN,North CP,,5
"",,,,10,,78
7/26/2020,,,,,,
"",ORD,Chicago-OHare International Chicago,IL,4B,,2
"",,,,6A,,9
"",PDX,Portland International Airport Portland,OR,PDX D/E,,4
"",,,,T-3 North,,31
"",PHX,Phoenix Sky Harbor International Phoenix,AZ,T-4 A,,14
"",,,,T-4 C,,2
