"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,122InternationalAnchorage,AK,South Checkpoint,,
"",DEN,Denver International Denver,CO,South,,148
"",,,,Blue-2,,3
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,6
"",,,,Terminal B/3,,0
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,0
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,0
"",,,,Terminal 4 Main,,55
"",,,,Terminal 5,,0
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 7,,0
"",,,,Terminal 8,,0
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,6
"",,,,TBIT Main Checkpoint,,5
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 7 - Passenger,,3
"",LGA,LaGuardia Flushing,NY,TB-CHK,,1
"",,,,EAST Checkpoint,,7
"",MCO,Orlando International Orlando,FL,WEST Checkpoint,,3
"",,,,WEST FIS,,0
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
00:00,,,,MEM-C,,0
"",,,,North 3,,0
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,1
"",MMH,Mammoth Yosemite Mammoth Lakes,CA,Checkpoint 1,,0
"",MSP,Minneapolis-St. Paul International St. Paul,MN,North CP,,2
"",,,,10,,0
"",ORD,Chicago-OHare International Chicago,IL,4B,,9
"",,,,6A,,5
"",PDX,Portland International Airport Portland,OR,PDX D/E,,0
"",,,,T-3 North,,1
6/28/2020,,,,,,
"",PHX,Phoenix Sky Harbor International Phoenix,AZ,T-4 A,,39
"",,,,T-4 C,,2
"",PIT,Pittsburgh International Pittsburgh,PA,Main Checkpoint,,2
"",SEA,Seattle-Tacoma International Seattle,WA,SCP 3,,20
"",,,,Employee Security Checkpoint D,,0
