"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,65InternationalAnchorage,AK,South Checkpoint,,
"",BLV,Mid America Airport Mascoutah,IL,Checkpoint A,,12
"",BWI,Baltimore-Washington International BWI Airport,MD,C Checkpoint,,2
"",DEN,Denver International Denver,CO,South,,38
"",,,,Blue-2,,1
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,4
"",,,,Terminal B/3,,1
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,5
"",HOB,Lea County Regional Airport Lovington,NM,Checkpoint 1,,0
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,2
"",,,,Terminal 4 Main,,2
"",,,,Terminal 5,,0
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 7,,0
"",,,,Terminal 8,,0
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,2
"",,,,TBIT Main Checkpoint,,17
"",LAX,Los Angeles International Los Angeles,CA,Terminal 5 - Passenger,,42
"",,,,Terminal 7 - Passenger,,40
"",,,,EAST Checkpoint,,1
"",MCO,Orlando International Orlando,FL,,,
"",,,,EAST FIS,,0
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
00:00,,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 3,,3
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,0
"",MMH,Mammoth Yosemite Mammoth Lakes,CA,Checkpoint 1,,0
"",MSP,Minneapolis-St. Paul International St. Paul,MN,North CP,,3
"",,,,10,,1
"",ORD,Chicago-OHare International Chicago,IL,4B,,9
"",,,,6A,,6
6/7/2020,,,,,,
"",PDX,Portland International Airport Portland,OR,PDX D/E,,0
"",,,,T-3 North,,2
"",PHX,Phoenix Sky Harbor International Phoenix,AZ,T-4 A,,43
"",,,,T-4 C,,1
