"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,44InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,7
"",BOS,Logan International East Boston,MA,E2,,93
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,114
"",BWI,Baltimore-Washington International BWI Airport,MD,C Checkpoint,,2
"",Cincinnati/Northern KentuckyCVG,361InternationalHebron,KY,FIS,,
"",DEN,Denver International Denver,CO,South,,52
"",,,,Blue-2,,7
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,3
"",,,,Terminal B/3,,0
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,8
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,24
"",GSN,Saipan Saipan,MP,GSN01,,18
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,1
"",Daniel K. Inouye InternationalHNL,23AirportHonolulu,HI,HNL03,,
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,9
"",IND,Indianapolis International Indianapolis,IN,Checkpoint B,,2
"",,,,Terminal 1,,165
"",,,,Terminal 2,,5
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 4 Main,,89
"",,,,Terminal 7,,0
"",,,,Terminal 8,,0
"",,,,Term 1 - AB,,44
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,28
"",,,,Terminal 3 - E Upper,,123
"",,,,TBIT Main Checkpoint,,121
"",,,,Terminal 2 - Passenger,,3
"",LAX,Los Angeles International Los Angeles,CA,Terminal 4A - Passenger,,31
00:00,,,,,,
3/22/2020,,,,Terminal 5 - Passenger,,18
"",,,,Terminal 7 - Passenger,,31
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 2,,7
