"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,192InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,5
"",DEN,Denver International Denver,CO,South,,100
"",,,,C21,,5
"",DFW,Dallas/Fort Worth International DFW Airport,TX,,,
"",,,,E16,,11
"",,,,Blue-2,,7
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,9
"",,,,Terminal B/3,,145
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,11
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,134
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,131
"",Ft. Lauderdale-HollywoodFLL,1InternationalFort Lauderdale,FL,T4 Checkpoint,,
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,3
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,102
"",,,,Terminal 1,,5
"",,,,Terminal 4 Main,,90
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 5,,5
"",,,,Terminal 7,,0
"",,,,Terminal 8,,21
"",,,,Term 1 - AB,,135
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,109
"",,,,Terminal 3 - E Upper,,184
"",,,,TBIT Main Checkpoint,,159
"",,,,Terminal 2 - Passenger,,0
00:00,LAX,Los Angeles International Los Angeles,CA,Terminal 4A - Passenger,,38
"",,,,Terminal 5 - Passenger,,31
"",,,,Terminal 7 - Passenger,,25
"",LGA,LaGuardia Flushing,NY,TB-CHK,,5
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
3/28/2021,,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 2,,58
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,2
"",MSP,Minneapolis-St. Paul International St. Paul,MN,South CP,,8
