"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,181InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,9
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,159
"",DEN,Denver International Denver,CO,South,,75
"",,,,Blue-2,,8
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,2
"",,,,Terminal B/3,,2
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,9
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,72
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,55
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,50
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,169
"",,,,Terminal 1,,0
"",,,,Terminal 4 Main,,73
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 5,,0
"",,,,Terminal 7,,0
"",,,,Terminal 8,,11
"",,,,Term 1 - AB,,64
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,27
"",,,,Terminal 3 - E Upper,,174
"",,,,TBIT Main Checkpoint,,89
"",,,,Terminal 1.5 – Passenger,,8
"",,,,Terminal 2 - Passenger,,65
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 4A - Passenger,,103
"",,,,Terminal 5 - Passenger,,41
00:00,,,,,,
"",,,,Terminal 7 - Passenger,,3
"",LGA,LaGuardia Flushing,NY,TB-CHK,,0
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",MEM,Memphis International Memphis,TN,Int'l Arrivals,,0
"",,,,North 2,,26
5/30/2021,MIA,Miami International Miami,FL,,,
"",,,,South-J1,,103
"",MSP,Minneapolis-St. Paul International St. Paul,MN,South CP,,9
"",,,,10,,6
"",ORD,Chicago-OHare International Chicago,IL,4B,,7
"",,,,6A,,6
