"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,106InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,5
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,108
"",DEN,Denver International Denver,CO,South,,283
"",,,,Blue-2,,10
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,3
"",,,,Terminal B/3,,4
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,11
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,75
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,47
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,2
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,98
"",,,,Terminal 1,,0
"",,,,Terminal 4 Main,,35
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 5,,7
"",,,,Terminal 7,,0
"",,,,Terminal 8,,7
"",,,,Term 1 - AB,,98
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,48
"",,,,Terminal 3 - E Upper,,232
"",,,,TBIT Main Checkpoint,,334
"",,,,Terminal 4A - Passenger,,157
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 5 - Passenger,,99
00:00,,,,,,
"",,,,Terminal 7 - Passenger,,41
"",LGA,LaGuardia Flushing,NY,TB-CHK,,2
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 2,,47
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,32
5/9/2021,,,,,,
"",MSP,Minneapolis-St. Paul International St. Paul,MN,South CP,,2
"",ONT,Ontario International Ontario,CA,T2,,1
"",,,,10,,3
"",ORD,Chicago-OHare International Chicago,IL,4B,,9
"",,,,6A,,18
