"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,249InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,45
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,228
"",,,,Concourse A,,0
"",DCA,Washington Reagan National Arlington,VA,North Checkpoint,,0
"",,,,South Checkpoint,,0
"",DEN,Denver International Denver,CO,South,,166
"",DFW,Dallas/Fort Worth International DFW Airport,TX,D30,,17
"",,,,Blue-2,,21
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,41
"",,,,Terminal B/3,,22
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,17
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,182
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,89
"",Ft. Lauderdale-HollywoodFLL,9InternationalFort Lauderdale,FL,T3F Checkpoint,,
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,10
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,115
"",IAH,George Bush Intercontinental Houston,TX,30/CN Terminal,,3
"",IWA,Phoenix-Mesa Gateway Mesa,AZ,IWA01,,36
"",,,,Terminal 1,,0
"",,,,Terminal 2,,2
"",,,,Terminal 4 Main,,157
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,6
"",,,,Terminal 7,,0
"",,,,Terminal 8,,0
"",,,,Term 1 - AB,,29
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,45
"",,,,Terminal 3 - E Upper,,148
"",,,,TBIT Main Checkpoint,,70
11/28/202,,,,,,
00:001,,,,Terminal 1.5 – Passenger,,0
"",,,,Terminal 2 - Passenger,,27
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 4 - Passenger,,51
"",,,,Terminal 5 - Passenger,,38
