"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,194InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,75
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,163
"",,,,Concourse A,,0
"",DCA,Washington Reagan National Arlington,VA,North Pier,,0
"",,,,South Pier,,0
"",DEN,Denver International Denver,CO,South,,50
"",DFW,Dallas/Fort Worth International DFW Airport,TX,D30,,3
"",,,,Blue-2,,13
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,8
"",EWR,Newark International Newark,NJ,Terminal C/1,,20
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,150
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,51
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,16
"",Daniel K. Inouye InternationalHNL,0AirportHonolulu,HI,HNL03,,
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,75
"",IAH,George Bush Intercontinental Houston,TX,12/AS Terminal,,2
"",,,,Terminal 1,,0
"",,,,Terminal 2,,0
"",,,,Terminal 4 Main,,181
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,6
"",,,,Terminal 7,,0
"",,,,Terminal 8,,6
"",,,,Term 1 - AB,,173
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,125
"",,,,Terminal 3 - E Upper,,347
"",,,,TBIT Main Checkpoint,,230
00:00,,,,Terminal 1.5 – Passenger,,28
"",,,,Terminal 2 - Passenger,,1
"",LAX,Los Angeles International Los Angeles,CA,,,
11/7/2021,,,,Terminal 4A - Passenger,,19
"",,,,Terminal 5 - Passenger,,42
"",,,,Terminal 7 - Passenger,,15
"",LGA,LaGuardia Flushing,NY,TB-CHK,,0
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
