"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,135InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,0
"",DEN,Denver International Denver,CO,South,,28
"",,,,C21,,0
"",DFW,Dallas/Fort Worth International DFW Airport,TX,,,
"",,,,E18,,3
"",,,,Blue-2,,8
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,2
"",EWR,Newark International Newark,NJ,Terminal C/1,,8
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,77
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,80
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,5
"",,,,Terminal 1,,8
"",,,,Terminal 4 Main,,25
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 5,,1
"",,,,Terminal 7,,0
"",,,,Terminal 8,,0
"",,,,Term 1 - D,,15
"",LAS,McCarran International Las Vegas,NV,Terminal 3 - E Lower (1),,0
"",,,,Terminal 3 - E Upper,,40
"",,,,TBIT Main Checkpoint,,174
"",LAX,Los Angeles International Los Angeles,CA,Terminal 4A - Passenger,,41
"",,,,Terminal 7 - Passenger,,10
"",LGA,LaGuardia Flushing,NY,TB-CHK,,0
"",,,,EAST Checkpoint,,1
"",MCO,Orlando International Orlando,FL,,,
00:00,,,,WEST Checkpoint,,6
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 2,,10
"",MIA,Miami International Miami,FL,,,
10/25/202,,,,South-J1,,4
0,MSP,Minneapolis-St. Paul International St. Paul,MN,North CP,,5
"",,,,10,,64
"",ORD,Chicago-OHare International Chicago,IL,4B,,8
"",,,,6A,,8
"",PDX,Portland International Airport Portland,OR,PDX D/E,,0
"",,,,T-3 North,,1
