"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,175InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,15
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,134
"",DEN,Denver International Denver,CO,South,,64
"",,,,Blue-2,,8
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,6
"",EWR,Newark International Newark,NJ,Terminal C/1,,9
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,37
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,100
"",Ft. Lauderdale-HollywoodFLL,9InternationalFort Lauderdale,FL,T3F Checkpoint,,
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,38
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,73
"",IAH,George Bush Intercontinental Houston,TX,12/AS Terminal,,4
"",,,,Terminal 1,,0
"",,,,Terminal 2,,1
"",,,,Terminal 4 Main,,325
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,5
"",,,,Terminal 7,,3
"",,,,Terminal 8,,93
"",,,,Term 1 - AB,,47
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,16
"",,,,Terminal 3 - E Upper,,79
"",,,,TBIT Main Checkpoint,,133
"",,,,Terminal 1.5 – Passenger,,0
"",,,,Terminal 2 - Passenger,,19
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 4A - Passenger,,74
"",,,,Terminal 5 - Passenger,,58
00:00,,,,Terminal 7 - Passenger,,11
"",LGA,LaGuardia Flushing,NY,TB-CHK,,2
10/3/2021,MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 2,,56
"",MIA,Miami International Miami,FL,,,
