"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,97InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,30
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,167
"",DEN,Denver International Denver,CO,South,,42
"",DFW,Dallas/Fort Worth International DFW Airport,TX,D30,,4
"",,,,Blue-2,,6
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,11
"",,,,Terminal B/3,,0
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,11
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,100
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,37
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,50
"",,,,Terminal 1,,1
"",,,,Terminal 2,,0
"",,,,Terminal 4 Main,,191
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,5
"",,,,Terminal 7,,0
"",,,,Terminal 8,,0
"",,,,Term 1 - AB,,19
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,12
"",,,,Terminal 3 - E Upper,,132
"",,,,TBIT Main Checkpoint,,188
"",,,,Terminal 1.5 – Passenger,,0
"",LAX,Los Angeles International Los Angeles,CA,Terminal 2 - Passenger,,4
"",,,,Terminal 4A - Passenger,,0
"",,,,Terminal 7 - Passenger,,21
00:00,,,,,,
"",LGA,LaGuardia Flushing,NY,TB-CHK,,1
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
10/31/202,,,,MEM-C,,0
1,,,,North 2,,144
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,3
"",MSP,Minneapolis-St. Paul International St. Paul,MN,North CP,,6
"",ONT,Ontario International Ontario,CA,T2,,19
"",,,,10,,122
