"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,249InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,3
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,164
"",DEN,Denver International Denver,CO,South,,54
"",,,,Blue-2,,9
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,9
"",,,,Terminal B/3,,3
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,6
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,59
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,61
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,21
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,101
"",,,,12/AS Terminal,,6
"",IAH,George Bush Intercontinental Houston,TX,,,
"",,,,21/B-Employee,,0
"",,,,Terminal 1,,0
"",,,,Terminal 2,,0
"",,,,Terminal 4 Main,,196
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,5
"",,,,Terminal 7,,0
"",,,,Terminal 8,,25
"",,,,Term 1 - AB,,41
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,35
"",,,,Terminal 3 - E Upper,,69
"",,,,TBIT Main Checkpoint,,112
"",,,,Terminal 1.5 – Passenger,,0
"",,,,Terminal 2 - Passenger,,2
"",LAX,Los Angeles International Los Angeles,CA,,,
"",,,,Terminal 4A - Passenger,,92
"",,,,Terminal 5 - Passenger,,64
00:00,,,,,,
"",,,,Terminal 7 - Passenger,,25
"",LGA,LaGuardia Flushing,NY,TB-CHK,,0
9/12/2021,,,,,,
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",MEM,Memphis International Memphis,TN,Int'l Arrivals,,0
"",,,,North 2,,146
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,4
