"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,149InternationalAnchorage,AK,South Checkpoint,,
"",ATL,"Hartsfield Atlanta International Atlanta,",GA,Main Checkpoint,,13
"",BQN,Rafael Hernandez Aguadilla,PR,Rafael Hernandez Air,,92
"",DEN,Denver International Denver,CO,South,,100
"",,,,Blue-2,,12
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,5
"",,,,Terminal B/3,,0
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,7
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,40
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,100
"",Ft. Lauderdale-HollywoodFLL,29InternationalFort Lauderdale,FL,T3F Checkpoint,,
"",GUM,Antonio B. Won Pat International Tamuning,GU,GUM01,,21
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,75
"",IAH,George Bush Intercontinental Houston,TX,12/AS Terminal,,3
"",,,,Terminal 1,,0
"",,,,Terminal 2,,0
"",,,,Terminal 4 Main,,242
"",JFK,John F. Kennedy International Jamaica,NY,,,
"",,,,Terminal 5,,4
"",,,,Terminal 7,,0
"",,,,Terminal 8,,24
"",,,,Term 1 - AB,,64
"",LAS,McCarran International Las Vegas,NV,Term 1 - D,,18
"",,,,Terminal 3 - E Upper,,90
"",,,,TBIT Main Checkpoint,,49
"",,,,Terminal 2 - Passenger,,15
"",LAX,Los Angeles International Los Angeles,CA,Terminal 4A - Passenger,,97
"",,,,Terminal 5 - Passenger,,60
00:00,,,,Terminal 7 - Passenger,,15
"",LGA,LaGuardia Flushing,NY,TB-CHK,,1
9/26/2021,MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",MEM,Memphis International Memphis,TN,Int'l Arrivals,,0
"",,,,North 2,,103
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,8
