"",,,,,,PMIS - Total
CustomerDate Hour of MetricsDay,Airport,City,State,Checkpoint,,Throughput
"",,,,,,(Unadjusted)
"",Ted Stevens AnchorageANC,95InternationalAnchorage,AK,South Checkpoint,,
"",DEN,Denver International Denver,CO,South,,19
"",,,,C21,,0
"",DFW,Dallas/Fort Worth International DFW Airport,TX,,,
"",,,,E18,,5
"",,,,Blue-2,,6
"",DTW,Detroit Metro Wayne County Detroit,MI,,,
"",,,,Red 3,,7
"",,,,Terminal B/2,,0
"",EWR,Newark International Newark,NJ,,,
"",,,,Terminal C/1,,6
"",FAI,Fairbanks International Fairbanks,AK,ASAA-FAI,,77
"",FAT,Fresno Air Terminal Fresno,CA,FAT 01,,191
"",IAD,"Washington-Dulles International Washington, DC",VA,Passenger Screening Area:  PreCheck,,22
"",,,,Terminal 1,,3
"",,,,Terminal 4 Main,,74
"",JFK,John F. Kennedy International Jamaica,NY,Terminal 5,,0
"",,,,Terminal 7,,0
"",,,,Terminal 8,,1
"",,,,Term 1 - CX,,0
"",,,,Term 1 - D,,3
"",LAS,McCarran International Las Vegas,NV,,,
"",,,,Terminal 3 - E Lower (1),,0
"",,,,Terminal 3 - E Upper,,30
"",,,,TBIT Main Checkpoint,,103
"",LAX,Los Angeles International Los Angeles,CA,Terminal 4A - Passenger,,42
"",,,,Terminal 7 - Passenger,,19
"",LGA,LaGuardia Flushing,NY,TB-CHK,,1
00:00,MCO,Orlando International Orlando,FL,WEST Checkpoint,,6
"",MDW,Chicago Midway Chicago,IL,Main Checkpoint,,0
"",,,,Int'l Arrivals,,0
"",MEM,Memphis International Memphis,TN,,,
"",,,,MEM-C,,0
"",,,,North 3,,5
"",MIA,Miami International Miami,FL,,,
"",,,,South-J1,,8
9/27/2020,,,,,,
"",MSP,Minneapolis-St. Paul International St. Paul,MN,North CP,,7
"",,,,10,,56
"",ORD,Chicago-OHare International Chicago,IL,4B,,7
"",,,,6A,,7
"",PDX,Portland International Airport Portland,OR,PDX D/E,,2
"",,,,T-3 North,,0
