,start,BWI,DCA,IAD,start_formatted
0,2019-12-29,148716,156058,184090,"Dec. 29, 19"
1,2020-01-05,134272,142896,173983,"Jan. 05, 20"
2,2020-01-12,145766,162781,178361,"Jan. 12, 20"
3,2020-01-19,144343,158132,164719,"Jan. 19, 20"
4,2020-01-26,135728,153757,163482,"Jan. 26, 20"
5,2020-02-02,134282,147754,153289,"Feb. 02, 20"
6,2020-02-09,145788,172944,154527,"Feb. 09, 20"
7,2020-02-16,150475,165536,162715,"Feb. 16, 20"
8,2020-03-01,145433,173113,158344,"Mar. 01, 20"
9,2020-03-08,125154,146087,140296,"Mar. 08, 20"
10,2020-03-15,46627,56328,71249,"Mar. 15, 20"
11,2020-03-22,17823,14218,29005,"Mar. 22, 20"
12,2020-03-29,11832,8609,16890,"Mar. 29, 20"
13,2020-04-05,8750,7684,12254,"Apr. 05, 20"
14,2020-04-12,7089,7153,12140,"Apr. 12, 20"
15,2020-04-19,7404,9499,11937,"Apr. 19, 20"
16,2020-04-26,9333,11240,17776,"Apr. 26, 20"
17,2020-05-03,12625,14069,19007,"May. 03, 20"
18,2020-05-10,15680,17227,20487,"May. 10, 20"
19,2020-05-17,19184,18159,22741,"May. 17, 20"
20,2020-05-24,21878,16013,23737,"May. 24, 20"
21,2020-05-31,25855,21304,31248,"May. 31, 20"
22,2020-06-07,27831,30666,39972,"Jun. 07, 20"
23,2020-06-14,30227,36635,42955,"Jun. 14, 20"
24,2020-06-21,32670,42246,50122,"Jun. 21, 20"
25,2020-06-28,41955,50233,61139,"Jun. 28, 20"
26,2020-07-05,45224,50419,46212,"Jul. 05, 20"
27,2020-07-12,43993,47247,49464,"Jul. 12, 20"
28,2020-07-19,48484,46920,48527,"Jul. 19, 20"
29,2020-07-26,50878,48696,53747,"Jul. 26, 20"
30,2020-08-02,49794,51729,55198,"Aug. 02, 20"
31,2020-08-09,48206,50546,59758,"Aug. 09, 20"
32,2020-08-16,43595,51083,56562,"Aug. 16, 20"
33,2020-08-23,41221,49496,50988,"Aug. 23, 20"
34,2020-08-30,48061,60354,59572,"Aug. 30, 20"
35,2020-09-06,41473,49894,57740,"Sep. 06, 20"
36,2020-09-13,41665,49115,54357,"Sep. 13, 20"
37,2020-09-20,44370,51202,61188,"Sep. 20, 20"
38,2020-09-27,44132,54660,64162,"Sep. 27, 20"
39,2020-10-04,46204,56659,70068,"Oct. 04, 20"
40,2020-10-11,53152,62112,67138,"Oct. 11, 20"
41,2020-10-18,50011,60551,72181,"Oct. 18, 20"
42,2020-10-25,48965,56858,73966,"Oct. 25, 20"
43,2020-11-01,45617,49273,77088,"Nov. 01, 20"
44,2020-11-08,55312,47907,77948,"Nov. 08, 20"
45,2020-11-15,55486,54679,88048,"Nov. 15, 20"
46,2020-11-22,57920,54792,89181,"Nov. 22, 20"
47,2020-11-29,48416,45669,87884,"Nov. 29, 20"
48,2020-12-06,34751,38986,71340,"Dec. 06, 20"
49,2020-12-13,43137,55318,87969,"Dec. 13, 20"
50,2020-12-20,59245,59786,92651,"Dec. 20, 20"
51,2020-12-27,62829,60104,93871,"Dec. 27, 20"
52,2021-01-03,53091,52184,85896,"Jan. 03, 21"
53,2021-01-10,42503,39719,79617,"Jan. 10, 21"
54,2021-01-24,35006,35382,72323,"Jan. 24, 21"
55,2021-01-31,37055,36755,70429,"Jan. 31, 21"
56,2021-02-07,41331,44644,71223,"Feb. 07, 21"
57,2021-02-14,39499,46395,48464,"Feb. 14, 21"
58,2021-02-21,45223,48009,73846,"Feb. 21, 21"
59,2021-02-28,47048,49073,83883,"Feb. 28, 21"
60,2021-03-07,58999,58075,96361,"Mar. 07, 21"
61,2021-03-14,64080,70319,110022,"Mar. 14, 21"
62,2021-03-21,77774,80952,97059,"Mar. 21, 21"
63,2021-03-28,88099,85103,105568,"Mar. 28, 21"
64,2021-04-04,82992,84018,105417,"Apr. 04, 21"
65,2021-04-11,86761,79990,110282,"Apr. 11, 21"
66,2021-04-18,76995,81255,115387,"Apr. 18, 21"
67,2021-04-25,81553,81428,116092,"Apr. 25, 21"
68,2021-05-02,87757,90253,125945,"May. 02, 21"
69,2021-05-09,100013,101048,139943,"May. 09, 21"
70,2021-05-16,100766,108825,157303,"May. 16, 21"
71,2021-05-23,113041,120774,159637,"May. 23, 21"
72,2021-05-30,105810,116307,159181,"May. 30, 21"
73,2021-06-06,112056,125342,172956,"Jun. 06, 21"
74,2021-06-13,116461,143838,180217,"Jun. 13, 21"
75,2021-06-20,117295,141689,174080,"Jun. 20, 21"
76,2021-06-27,125323,149721,187266,"Jun. 27, 21"
77,2021-07-04,110797,140724,174360,"Jul. 04, 21"
78,2021-07-11,120226,147012,189682,"Jul. 11, 21"
79,2021-07-18,121581,150270,186833,"Jul. 18, 21"
80,2021-07-25,126592,158593,178724,"Jul. 25, 21"
81,2021-08-01,123672,156477,155166,"Aug. 01, 21"
82,2021-08-08,122260,150720,158204,"Aug. 08, 21"
83,2021-08-15,118049,148742,150343,"Aug. 15, 21"
84,2021-08-22,95364,129017,141289,"Aug. 22, 21"
85,2021-08-29,95795,132258,155547,"Aug. 29, 21"
86,2021-09-05,94190,127802,149853,"Sep. 05, 21"
87,2021-09-12,86493,137132,146778,"Sep. 12, 21"
88,2021-09-26,88326,143565,154455,"Sep. 26, 21"
89,2021-10-03,112501,154721,160358,"Oct. 03, 21"
90,2021-10-10,104443,173425,169098,"Oct. 10, 21"
91,2021-10-17,106318,171936,166580,"Oct. 17, 21"
92,2021-10-24,113235,150825,159212,"Oct. 24, 21"
93,2021-10-31,97720,151824,157695,"Oct. 31, 21"
